hour_dt,predicted_kwh,tariff_price,actual_kwh,utilization,satisfaction
2018-10-28 10:00:00+00:00,1.0577441411635176,0.23801301802459038,0.0,0.0,0.9520520720983615
2018-10-28 11:00:00+00:00,0.5976538461538461,0.23778986896132123,0.0,0.0,0.9511594758452849
2018-10-28 12:00:00+00:00,0.9294615384615385,0.2379507994928431,0.0,0.0,0.9518031979713724
2018-10-28 13:00:00+00:00,1.1335219189412784,0.23804977111482317,13.252,1.0,0.9521990844592927
2018-10-28 14:00:00+00:00,9.043115384615383,0.24188601454757774,32.74132078852958,1.0,0.967544058190311
2018-10-28 15:00:00+00:00,16.009206292390484,0.2452646484322266,7.533699223416454,0.4705854297722043,0.9810585937289064
2018-10-28 16:00:00+00:00,27.442611501700245,0.2508099809247984,74.34191009557865,1.0,0.9967600763008064
2018-10-28 17:00:00+00:00,29.32869191710326,0.25172475153072615,68.5508625,1.0,0.9931009938770954
2018-10-28 18:00:00+00:00,35.40048625022982,0.25466964133278475,58.08150418160389,1.0,0.981321434668861
2018-10-28 19:00:00+00:00,31.852808664529917,0.25294897706619063,64.743,1.0,0.9882040917352375
2018-10-28 20:00:00+00:00,33.789626217719096,0.25388835576512264,39.26862813620214,1.0,0.9844465769395094
2018-10-28 21:00:00+00:00,26.314874149894198,0.2502630153912962,28.761000000000003,1.0,0.9989479384348152
2018-10-28 22:00:00+00:00,20.31902722635785,0.2473549609528425,1.123,0.05526839387976428,0.98941984381137
2018-10-28 23:00:00+00:00,29.84093795940163,0.251973196728858,13.867,0.4646971894404241,0.9921072130845681
2018-10-29 00:00:00+00:00,36.09697783303449,0.2550074477285368,39.06587096774016,1.0,0.9799702090858529
2018-10-29 01:00:00+00:00,28.355532223600715,0.2512527579321395,29.819000000000003,1.0,0.9949889682714419
2018-10-29 02:00:00+00:00,21.918152904145003,0.2481305552240504,5.783,0.263845225703593,0.9925222208962016
